NOME_PRODUTO,URL,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Sambiquira 1Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/sambiquira-1kg,100,604,0,16,60,19,0,0,310
Moela 1Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/moela-1kg,100,123,0,24,3,0.8,0,0,124
Fígado de Frango 1Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/figado-de-frango-1kg,100,103,0,0,0,0,0,0,0
Sobrecoxa Congeladas Soltinhas 800g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/sobrecoxa-congeladas-soltinhas-800g,100,194,0,17,14,3.5,0,0,82
Coxinha da Asa (Drumete) Soltinhas 800g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/coxinha-da-asa-drumete-soltinhas-800g,100,184,0,19,12,3,0,0,86
Coxa e Sobrecoxa Desossada 2Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/coxa-e-sobrecoxa-desossada,100,0,0,0,8.4,2.1,0,0,0
Coração de Frango Na Brasa 500g,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/coracao-de-frango-na-brasa-500g,100,125,0,11,9,1.7,0,0,75
Coxas e Sobrecoxas Desossadas e Sem Pele 1Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/coxas-e-sobrecoxas-desossadas-e-sem-pele-1kg,100,136,0,18,6.9,3.1,0,0,79
Filé de peito 1Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/file-de-peito-1kg,100,101,0,23,1,0,0,0,56
Filé de peito 2Kg,https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango/file-de-peito-2kg,100,101,0,23,1.0,0,0,0,56
"Coxas Temperadas Assa Fácil 1,2Kg",https://www.perdigao.com.br/produtos/frango/produtos-in-natura-de-frango-temperados/coxas-temperadas-assa-facil-12kg,100,134,1.3,16,7.2,2.2,0,0,606
