NOME_PRODUTO,URL,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Mortadela Tradicional 200g,https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-tradicional-200g,100,0,2.3,4.9,0,0,0,0,472
Mortadela Mista 400g,https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-mista-400g,40,116,2.6,4.8,9.6,2.8,0,0.8,540
"Mortadela Mista 3,5Kg",https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-mista-35kg,40,116,2.6,4.8,9.6,2.8,0,0.8,540
Mortadela Mista 1Kg,https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-mista-1kg,40,116,2.6,4.8,9.6,2.8,0,0.8,540
Mortadela Mista Sem Toucinho 400g,https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-mista-sem-toucinho-400g,40,116,2.6,4.8,9.6,2.8,0,0.8,540
"Presunto de Peru 3,45kg",https://www.perdigao.com.br/produtos/frios/presuntos/presunto-de-peru-345kg,40,42,0,0,0,0,0,0,0
"Presunto Tradicional Magro 3,4kg",https://www.perdigao.com.br/produtos/frios/presuntos/presunto-tradicional-magro-34kg,40,35,0,0,0,0,0,0,0
Presunto Fatiado 200g,https://www.perdigao.com.br/produtos/frios/presuntos/presunto-fatiado-200g,40,0,0.6,6.4,0,0,0,0,451
Mortadela Ouro Fatiada 200g,https://www.perdigao.com.br/produtos/frios/mortadela-ouro/mortadela-ouro-fatiada-200g,40,0,2,5.6,0,0,0,0,459
Mortadela Ouro 4kg,https://www.perdigao.com.br/produtos/frios/mortadela-ouro/mortadela-ouro-4kg,40,101,0,0,0,0,0,0,0
Mortadela Ouro com Azeitona 200g,https://www.perdigao.com.br/produtos/frios/mortadela-ouro/mortadela-ouro-com-azeitona-200g,40,0,2,5.6,0,0,0,0,472
Mortadela Ouro com Ervas Finas 200g,https://www.perdigao.com.br/produtos/frios/mortadela-ouro/mortadela-ouro-com-ervas-finas-200g,40,0,2,5.6,0,0,0,0,472
Salame Ouro Defumado 300g,https://www.perdigao.com.br/produtos/frios/salame/salame-ouro-defumado-300g,40,157,0,0,0,0,0,0,0
Salame Ouro Defumado 700g,https://www.perdigao.com.br/produtos/frios/salame/salame-ouro-defumado-700g,40,157,0,0,0,0,0,0,0
Salame Ouro Defumado Fatiado 100g,https://www.perdigao.com.br/produtos/frios/salame/salame-ouro-defumado-fatiado-100g,40,155,0,0,0,0,0,0,0
"Apresuntado 3,5kg",https://www.perdigao.com.br/produtos/frios/apresuntado/apresuntado-35kg,30,40,0,0,0,0,0,0,0
Apresuntado Fatiado 200g,https://www.perdigao.com.br/produtos/frios/apresuntado/apresuntado-fatiado-200g,100,0,0.5,4.5,0,0,0,0,300
Mortadela mista 1 kg,https://www.perdigao.com.br/produtos/frios/mortadela-tubular/mortadela-mista-1-kg,40,0,0,0,0,0,0,0,0
"Mortadela Frango 3,5Kg",https://www.perdigao.com.br/produtos/frios/mortadela-tubular/mortadela-frango-35kg,40,117,2.8,4.8,9.6,2.8,0,0.4,540
Mortadela Frango 400g,https://www.perdigao.com.br/produtos/frios/mortadela-tubular/mortadela-frango-400g,40,117,2.8,4.8,9.6,2.8,0,0.4,540
"Fiambre 3,75kg",https://www.perdigao.com.br/produtos/frios/lanche/fiambre-375kg,40,58,0,0,0,0,0,0,0
"Peito de Frango Ouro Defumado 2,6kg",https://www.perdigao.com.br/produtos/frios/lanche/peito-de-frango-ouro-defumado-26kg,40,41,0,0,0,0,0,0,0
Fettuccine ao molho bolonhesa 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/fettuccine-ao-molho-bolonhesa-300g,100,0,11,5,0,0,0,0,288
Fettuccine com peru e brócolis 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/fettuccine-com-peru-e-brocolis-300g,100,0,11,5.6,0,0,0,0,342
Penne ao sugo e manjericão 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/penne-ao-sugo-e-manjericao-300g,100,88,13,3.3,2.5,1.2,1.8,2,242
Penne ao Molho Parisiense 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/penne-ao-molho-parisiense-300g,100,0,12,5.1,0,0,0,0,0.1
Strogonoff de frango e arroz branco 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/strogonoff-de-frango-e-arroz-branco-300g,100,0,19,6.1,0,0,0,0,318
Frango ao molho branco com bacon e arroz com brócolis 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/frango-ao-molho-branco-com-bacon-e-arroz-com-brocolis-300g,100,0,14,8.1,0,0,0,0,367
Lombo Suíno ao molho oriental e arroz com cenoura 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/lombo-suino-ao-molho-oriental-e-arroz-com-cenoura-300g,100,0,17,5.5,0,0,0,0,274
Feijoada e arroz com couve 300g,https://www.perdigao.com.br/produtos/pratos-prontos/refeicao-individual/feijoada-e-arroz-com-couve-300g,100,0,15,6.2,0,0,0,0,350
Pizza Napolitana 460G,https://www.perdigao.com.br/produtos/pratos-prontos/pizzas/pizza-napolitana-460g,100,208,29,8.4,6.5,2.3,1.7,3.3,461
Pizza de Calabresa Moída 460G,https://www.perdigao.com.br/produtos/pratos-prontos/pizzas/pizza-de-calabresa-moida-460g,100,221,26,11,8.1,2.7,1.8,3.6,291
Pizza Brasileira 460G,https://www.perdigao.com.br/produtos/pratos-prontos/pizzas/pizza-brasileira-460g,77,166,22,8,5.2,1.9,1.5,0,497
Pizza Frango com Bacon e Creme com Requeijão 460g,https://www.perdigao.com.br/produtos/pratos-prontos/pizzas/pizza-frango-com-bacon-e-creme-com-requeijao-460g,100,256,25,12,12,4.6,2.1,2.9,588
Lasanha Tipo Calabresa 600g,https://www.perdigao.com.br/produtos/pratos-prontos/lasanhas/lasanha-tipo-calabresa-600g,100,114,12,3.7,5.7,2.2,0.9,1.4,280
Lasanha à Bolonhesa Embalagem Econômica 1Kg,https://www.perdigao.com.br/produtos/pratos-prontos/lasanhas/lasanha-a-bolonhesa-embalagem-economica-1kg,100,104,11,5.1,4.4,1.8,1,1.3,390
Lasanha de Frango com Toque de Bacon 600g,https://www.perdigao.com.br/produtos/pratos-prontos/lasanhas/lasanha-de-frango-com-toque-de-bacon-600g,100,106,12,4.7,4.3,1.8,1,1.5,335
Lasanha à Bolonhesa 600g,https://www.perdigao.com.br/produtos/pratos-prontos/lasanhas/lasanha-a-bolonhesa-600g,100,211,23,9.5,9,3.7,1.8,1.3,450
Feijoada 300g,https://www.perdigao.com.br/produtos/pratos-prontos/feijoada/feijoada-300g,100,0,11,5,0,0,0,0,288
Empanado de Frango à Parmegiana 800g,https://www.perdigao.com.br/produtos/pratos-prontos/empanado-a-parmegiana/empanado-de-frango-a-parmegiana-800g,200,190,14,16,7.8,3.0,2.5,0,576
Pão de Queijo Coquetel 375g,https://www.perdigao.com.br/produtos/lanches/pao-de-queijo/pao-de-queijo-coquetel-375g,50,137,15,2.7,6,2.1,0.5,0.7,270
Pão de Queijo Lanche 900g,https://www.perdigao.com.br/produtos/lanches/pao-de-queijo/pao-de-queijo-lanche-900g,50,137,18,2.7,6,2.1,0.5,0.7,270
