NOME_PRODUTO,URL,CATEGORIA,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Mini Chicken Tradicional 275g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/mini-chicken-tradicional-275g/,Categoria não identificada,100,236,19,13,12,3.2,0,1,500
Steak recheado 100g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/steak-recheado-100g/,Categoria não identificada,100,235,9,13,17,5,1.2,0,650
Salsicha de Frango 500g,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-de-frango-500g/,Categoria não identificada,50,103,1.6,6,8,2.5,0,0.5,540
